Name,Description,Discovery Date,Detection Method,Mass,Planet Radius,Planet Type,Orbital Radius,Eccentricity,Orbital Period,File,Uuid,Link
gj-367-b,"""GJ 367 b is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.546 Earths, it takes 0.3 days to complete one orbit of its star, and is 0.0071 AU from its star. Its discovery was announced in 2021.""",2021,Transit,0.546 Earths,0.718 x Earth,Terrestrial,0.0071 AU,0.0,0.3 days,exoplanet_details/gj-367-b/,8f7bdf74-0374-43d4-8d3a-e9bf2c142c24,https://exoplanets.nasa.gov//exoplanet-catalog/8049/gj-367-b/
gj-3779-b,"""GJ 3779 b is a Neptune-like exoplanet that orbits an M-type star. Its mass is 8 Earths, it takes 3 days to complete one orbit of its star, and is 0.026 AU from its star. Its discovery was announced in 2018.""",2018,Radial Velocity,8 Earths,0.245 x Jupiter (estimate),Neptune-like,0.026 AU,0.07,3 days,exoplanet_details/gj-3779-b/,6696e32b-a12c-4d13-b5dd-6d07c5d9542a,https://exoplanets.nasa.gov//exoplanet-catalog/7360/gj-3779-b/
gj-3929-b,"""GJ 3929 b is a super Earth exoplanet that orbits an M-type star. Its mass is 1.21 Earths, it takes 2.6 days to complete one orbit of its star, and is 0.02569 AU from its star. Its discovery was announced in 2022.""",2022,Transit,1.21 Earths,1.15 x Earth,Super Earth,0.02569 AU,0.0,2.6 days,exoplanet_details/gj-3929-b/,81f75d9c-f007-4d9f-aa9b-33a4f6b32c56,https://exoplanets.nasa.gov//exoplanet-catalog/8408/gj-3929-b/
gj-393-b,"""GJ 393 b is a super Earth exoplanet that orbits an M-type star. Its mass is 1.71 Earths, it takes 7 days to complete one orbit of its star, and is 0.05402 AU from its star. Its discovery was announced in 2021.""",2021,Radial Velocity,1.71 Earths,1.17 x Earth (estimate),Super Earth,0.05402 AU,0.0,7 days,exoplanet_details/gj-393-b/,a7e71f47-e4d9-49b9-9d8d-940bfce0397e,https://exoplanets.nasa.gov//exoplanet-catalog/7906/gj-393-b/
gj-3942-b,"""GJ 3942 b is a Neptune-like exoplanet that orbits an M-type star. Its mass is 7.14 Earths, it takes 6.9 days to complete one orbit of its star, and is 0.0608 AU from its star. Its discovery was announced in 2017.""",2017,Radial Velocity,7.14 Earths,0.229 x Jupiter (estimate),Neptune-like,0.0608 AU,0.12,6.9 days,exoplanet_details/gj-3942-b/,c4ae640a-c078-45c8-962a-aab7ca54cc71,https://exoplanets.nasa.gov//exoplanet-catalog/7195/gj-3942-b/
gj-3998-b,"""GJ 3998 b is a super Earth exoplanet that orbits an M-type star. Its mass is 2.47 Earths, it takes 2.6 days to complete one orbit of its star, and is 0.029 AU from its star. Its discovery was announced in 2016.""",2016,Radial Velocity,2.47 Earths,1.38 x Earth (estimate),Super Earth,0.029 AU,0.0,2.6 days,exoplanet_details/gj-3998-b/,68bd171f-f6cb-4573-9beb-07ecb68adfe4,https://exoplanets.nasa.gov//exoplanet-catalog/7164/gj-3998-b/
gj-3998-c,"""GJ 3998 c is a Neptune-like exoplanet that orbits an M-type star. Its mass is 6.26 Earths, it takes 13.7 days to complete one orbit of its star, and is 0.089 AU from its star. Its discovery was announced in 2016.""",2016,Radial Velocity,6.26 Earths,0.212 x Jupiter (estimate),Neptune-like,0.089 AU,0.05,13.7 days,exoplanet_details/gj-3998-c/,5731f10b-280a-42c7-9b04-dc18c3214945,https://exoplanets.nasa.gov//exoplanet-catalog/7165/gj-3998-c/
gj-411-b,"""GJ 411 b is a super Earth exoplanet that orbits an M-type star. Its mass is 2.69 Earths, it takes 12.9 days to complete one orbit of its star, and is 0.0789 AU from its star. Its discovery was announced in 2019.""",2019,Radial Velocity,2.69 Earths,1.45 x Earth (estimate),Super Earth,0.0789 AU,0.12,12.9 days,exoplanet_details/gj-411-b/,4860ba0b-099b-40ff-b862-8ff783701f5a,https://exoplanets.nasa.gov//exoplanet-catalog/7287/gj-411-b/
gj-414-a-b,"""GJ 414 A b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 7.6 Earths, it takes 50.8 days to complete one orbit of its star, and is 0.2324 AU from its star. Its discovery was announced in 2021.""",2021,Radial Velocity,7.6 Earths,0.235 x Jupiter,Neptune-like,0.2324 AU,0.45,50.8 days,exoplanet_details/gj-414-a-b/,f201a484-41f4-4258-880a-9f6764618425,https://exoplanets.nasa.gov//exoplanet-catalog/7838/gj-414-a-b/
gj-414-a-c,"""GJ 414 A c is a gas giant exoplanet that orbits a K-type star. Its mass is 0.16937 Jupiters, it takes 2.1 years to complete one orbit of its star, and is 1.4 AU from its star. Its discovery was announced in 2021.""",2021,Radial Velocity,0.16937 Jupiters,0.749 x Jupiter,Gas Giant,1.4 AU,0.11,2.1 years,exoplanet_details/gj-414-a-c/,7afb4893-1d8f-4412-98fd-eb10c1a36af3,https://exoplanets.nasa.gov//exoplanet-catalog/7839/gj-414-a-c/
gj-422-b,"""GJ 422 b is a Neptune-like exoplanet that orbits an M-type star. Its mass is 11.07 Earths, it takes 20.1 days to complete one orbit of its star, and is 0.111 AU from its star. Its discovery was announced in 2014.""",2014,Radial Velocity,11.07 Earths,0.297 x Jupiter (estimate),Neptune-like,0.111 AU,0.11,20.1 days,exoplanet_details/gj-422-b/,9db33017-113b-48df-85e5-13b1723a1b32,https://exoplanets.nasa.gov//exoplanet-catalog/7492/gj-422-b/
gj-4276-b,"""GJ 4276 b is a Neptune-like exoplanet that orbits an M-type star. Its mass is 16.57 Earths, it takes 13.4 days to complete one orbit of its star, and is 0.082 AU from its star. Its discovery was announced in 2019.""",2019,Radial Velocity,16.57 Earths,0.377 x Jupiter (estimate),Neptune-like,0.082 AU,0.37,13.4 days,exoplanet_details/gj-4276-b/,e103384b-8244-4c27-8d89-4b827e8dd084,https://exoplanets.nasa.gov//exoplanet-catalog/7346/gj-4276-b/
gj-433-b,"""GJ 433 b is a Neptune-like exoplanet that orbits an M-type star. Its mass is 6.043 Earths, it takes 7.4 days to complete one orbit of its star, and is 0.062 AU from its star. Its discovery was announced in 2011.""",2011,Radial Velocity,6.043 Earths,0.208 x Jupiter (estimate),Neptune-like,0.062 AU,0.04,7.4 days,exoplanet_details/gj-433-b/,b9ed2a2c-d96a-448e-9e76-3b36bf2245c8,https://exoplanets.nasa.gov//exoplanet-catalog/6533/gj-433-b/
gj-433-c,"""GJ 433 c is a Neptune-like exoplanet that orbits an M-type star. Its mass is 32.422 Earths, it takes 14 years to complete one orbit of its star, and is 4.819 AU from its star. Its discovery was announced in 2014.""",2014,Radial Velocity,32.422 Earths,0.56 x Jupiter (estimate),Neptune-like,4.819 AU,0.12,14 years,exoplanet_details/gj-433-c/,467cf63f-c7c0-41d6-970e-17b26c52c2d7,https://exoplanets.nasa.gov//exoplanet-catalog/7494/gj-433-c/
gj-433-d,"""GJ 433 d is a Neptune-like exoplanet that orbits an M-type star. Its mass is 5.223 Earths, it takes 36.1 days to complete one orbit of its star, and is 0.178 AU from its star. Its discovery was announced in 2020.""",2020,Radial Velocity,5.223 Earths,2.14 x Earth (estimate),Neptune-like,0.178 AU,0.07,36.1 days,exoplanet_details/gj-433-d/,028e3ac3-b3e7-441d-87fe-e7c2bfa08c9a,https://exoplanets.nasa.gov//exoplanet-catalog/7583/gj-433-d/
gj-436-b,,2004,Radial Velocity,22.1 Earths,0.372 x Jupiter,Neptune-like,0.0291 AU,0.14,2.6 days,exoplanet_details/gj-436-b/,f361f003-c3e1-4a2b-9ecc-bf81779c08f7,https://exoplanets.nasa.gov//exoplanet-catalog/6534/gj-436-b/
gj-480-b,"""GJ 480 b is a Neptune-like exoplanet that orbits an M-type star. Its mass is 13.2 Earths, it takes 9.6 days to complete one orbit of its star, and is 0.068 AU from its star. Its discovery was announced in 2020.""",2020,Radial Velocity,13.2 Earths,0.33 x Jupiter (estimate),Neptune-like,0.068 AU,0.1,9.6 days,exoplanet_details/gj-480-b/,a99b7b5c-de36-48e3-9f13-61d479ab5214,https://exoplanets.nasa.gov//exoplanet-catalog/7673/gj-480-b/
gj-486-b,"""GJ 486 b is a super Earth exoplanet that orbits an M-type star. Its mass is 2.82 Earths, it takes 1.5 days to complete one orbit of its star, and is 0.01734 AU from its star. Its discovery was announced in 2021.""",2021,Radial Velocity,2.82 Earths,1.305 x Earth,Super Earth,0.01734 AU,0.05,1.5 days,exoplanet_details/gj-486-b/,1a29da10-9b24-4c4e-85aa-4717ac30b839,https://exoplanets.nasa.gov//exoplanet-catalog/7840/gj-486-b/
gj-504-b,,2013,Direct Imaging,4 Jupiters,1.16 x Jupiter (estimate),Gas Giant,43.5 AU,0.0,259.9 years,exoplanet_details/gj-504-b/,29586c1b-1bbf-4020-96ac-955b4b705474,https://exoplanets.nasa.gov//exoplanet-catalog/6535/gj-504-b/
gj-536-b,"""GJ 536 b is a Neptune-like exoplanet that orbits an M-type star. Its mass is 5.36 Earths, it takes 8.7 days to complete one orbit of its star, and is 0.06661 AU from its star. Its discovery was announced in 2016.""",2016,Radial Velocity,5.36 Earths,2.17 x Earth (estimate),Neptune-like,0.06661 AU,0.08,8.7 days,exoplanet_details/gj-536-b/,9c297dff-07d0-4c85-a08b-11c099af923e,https://exoplanets.nasa.gov//exoplanet-catalog/7247/gj-536-b/
gj-581-b,"""GJ 581 b is a Neptune-like exoplanet that orbits an M-type star. Its mass is 15.8 Earths, it takes 5.4 days to complete one orbit of its star, and is 0.04061 AU from its star. Its discovery was announced in 2005.""",2005,Radial Velocity,15.8 Earths,0.366 x Jupiter (estimate),Neptune-like,0.04061 AU,0.0,5.4 days,exoplanet_details/gj-581-b/,2f939541-6758-4044-918a-b3ea390cc17d,https://exoplanets.nasa.gov//exoplanet-catalog/6536/gj-581-b/
gj-581-c,"""GJ 581 c is a Neptune-like exoplanet that orbits an M-type star. Its mass is 5.5 Earths, it takes 12.9 days to complete one orbit of its star, and is 0.0721 AU from its star. Its discovery was announced in 2007.""",2007,Radial Velocity,5.5 Earths,2.21 x Earth (estimate),Neptune-like,0.0721 AU,0.0,12.9 days,exoplanet_details/gj-581-c/,073c242d-a79c-4767-9f7c-80ebf98aab73,https://exoplanets.nasa.gov//exoplanet-catalog/6537/gj-581-c/
gj-581-e,"""GJ 581 e is a super Earth exoplanet that orbits an M-type star. Its mass is 1.7 Earths, it takes 3.1 days to complete one orbit of its star, and is 0.02815 AU from its star. Its discovery was announced in 2009.""",2009,Radial Velocity,1.7 Earths,1.17 x Earth (estimate),Super Earth,0.02815 AU,0.0,3.1 days,exoplanet_details/gj-581-e/,3740c717-5ebb-4042-b3c8-9c3592b255a0,https://exoplanets.nasa.gov//exoplanet-catalog/6538/gj-581-e/
gj-625-b,"""GJ 625 b is a super Earth exoplanet that orbits an M-type star. Its mass is 2.82 Earths, it takes 14.6 days to complete one orbit of its star, and is 0.078361 AU from its star. Its discovery was announced in 2017.""",2017,Radial Velocity,2.82 Earths,1.49 x Earth (estimate),Super Earth,0.078361 AU,0.13,14.6 days,exoplanet_details/gj-625-b/,79cef2c0-dca0-40a7-ac8a-1ff7f1763800,https://exoplanets.nasa.gov//exoplanet-catalog/7184/gj-625-b/
gj-649-b,"""GJ 649 b is a gas giant exoplanet that orbits an M-type star. Its mass is 0.328 Jupiters, it takes 1.6 years to complete one orbit of its star, and is 1.135 AU from its star. Its discovery was announced in 2009.""",2009,Radial Velocity,0.328 Jupiters,1.11 x Jupiter (estimate),Gas Giant,1.135 AU,0.3,1.6 years,exoplanet_details/gj-649-b/,6b1233cc-c3e6-41df-9af8-1628b16fe903,https://exoplanets.nasa.gov//exoplanet-catalog/6539/gj-649-b/
gj-667-c-b,"""GJ 667 C b is a Neptune-like exoplanet that orbits an M-type star. Its mass is 5.6 Earths, it takes 7.2 days to complete one orbit of its star, and is 0.0505 AU from its star. Its discovery was announced in 2011.""",2011,Radial Velocity,5.6 Earths,2.23 x Earth (estimate),Neptune-like,0.0505 AU,0.13,7.2 days,exoplanet_details/gj-667-c-b/,29e1f07d-6326-4451-9109-ec458e24ab44,https://exoplanets.nasa.gov//exoplanet-catalog/6540/gj-667-c-b/
gj-667-c-c,"""GJ 667 C c is a super Earth exoplanet that orbits an M-type star. Its mass is 3.8 Earths, it takes 28.1 days to complete one orbit of its star, and is 0.125 AU from its star. Its discovery was announced in 2011.""",2011,Radial Velocity,3.8 Earths,1.77 x Earth (estimate),Super Earth,0.125 AU,0.02,28.1 days,exoplanet_details/gj-667-c-c/,40301211-42d7-4ce7-95f0-60a9d3d98df4,https://exoplanets.nasa.gov//exoplanet-catalog/6541/gj-667-c-c/
gj-667-c-e,"""GJ 667 C e is a super Earth exoplanet that orbits an M-type star. Its mass is 2.7 Earths, it takes 62.2 days to complete one orbit of its star, and is 0.213 AU from its star. Its discovery was announced in 2013.""",2013,Radial Velocity,2.7 Earths,1.45 x Earth (estimate),Super Earth,0.213 AU,0.02,62.2 days,exoplanet_details/gj-667-c-e/,82094023-b027-40eb-943d-f1e1459c9fcc,https://exoplanets.nasa.gov//exoplanet-catalog/6542/gj-667-c-e/
gj-667-c-f,"""GJ 667 C f is a super Earth exoplanet that orbits an M-type star. Its mass is 2.7 Earths, it takes 39 days to complete one orbit of its star, and is 0.156 AU from its star. Its discovery was announced in 2013.""",2013,Radial Velocity,2.7 Earths,1.45 x Earth (estimate),Super Earth,0.156 AU,0.03,39 days,exoplanet_details/gj-667-c-f/,3945c7b7-14df-4e96-ad3a-8318559031c7,https://exoplanets.nasa.gov//exoplanet-catalog/6543/gj-667-c-f/
gj-667-c-g,"""GJ 667 C g is a super Earth exoplanet that orbits an M-type star. Its mass is 4.6 Earths, it takes 256.2 days to complete one orbit of its star, and is 0.549 AU from its star. Its discovery was announced in 2013.""",2013,Radial Velocity,4.6 Earths,1.99 x Earth (estimate),Super Earth,0.549 AU,0.08,256.2 days,exoplanet_details/gj-667-c-g/,714105ef-5dd4-46f1-b541-ba1861956ad0,https://exoplanets.nasa.gov//exoplanet-catalog/6544/gj-667-c-g/
gj-674-b,"""GJ 674 b is a Neptune-like exoplanet that orbits an M-type star. Its mass is 11.09 Earths, it takes 4.7 days to complete one orbit of its star, and is 0.039 AU from its star. Its discovery was announced in 2007.""",2007,Radial Velocity,11.09 Earths,0.297 x Jupiter (estimate),Neptune-like,0.039 AU,0.2,4.7 days,exoplanet_details/gj-674-b/,517b5616-ffb4-49d6-86b7-30802e13c5f8,https://exoplanets.nasa.gov//exoplanet-catalog/6545/gj-674-b/
gj-676-a-b,"""GJ 676 A b is a gas giant exoplanet that orbits a K-type star. Its mass is 6.7 Jupiters, it takes 2.9 years to complete one orbit of its star, and is 1.82 AU from its star. Its discovery was announced in 2010.""",2010,Radial Velocity,6.7 Jupiters,1.13 x Jupiter (estimate),Gas Giant,1.82 AU,0.33,2.9 years,exoplanet_details/gj-676-a-b/,6b6a36c6-a281-4262-bfb4-27c9e2167c82,https://exoplanets.nasa.gov//exoplanet-catalog/6546/gj-676-a-b/
gj-676-a-c,"""GJ 676 A c is a gas giant exoplanet that orbits a K-type star. Its mass is 6.8 Jupiters, it takes 20.1 years to complete one orbit of its star, and is 6.6 AU from its star. Its discovery was announced in 2016.""",2016,Radial Velocity,6.8 Jupiters,1.13 x Jupiter (estimate),Gas Giant,6.6 AU,0.0,20.1 years,exoplanet_details/gj-676-a-c/,2237f12e-9036-47a7-8b73-abb21916284d,https://exoplanets.nasa.gov//exoplanet-catalog/7169/gj-676-a-c/
gj-676-a-d,"""GJ 676 A d is a super Earth exoplanet that orbits a K-type star. Its mass is 4.4 Earths, it takes 3.6 days to complete one orbit of its star, and is 0.0413 AU from its star. Its discovery was announced in 2012.""",2012,Radial Velocity,4.4 Earths,1.93 x Earth (estimate),Super Earth,0.0413 AU,0.26,3.6 days,exoplanet_details/gj-676-a-d/,c39c77eb-962d-4e9e-a0fb-7a8560662d92,https://exoplanets.nasa.gov//exoplanet-catalog/6547/gj-676-a-d/
gj-676-a-e,"""GJ 676 A e is a Neptune-like exoplanet that orbits a K-type star. Its mass is 8.1 Earths, it takes 35.4 days to complete one orbit of its star, and is 0.187 AU from its star. Its discovery was announced in 2012.""",2012,Radial Velocity,8.1 Earths,0.247 x Jupiter (estimate),Neptune-like,0.187 AU,0.13,35.4 days,exoplanet_details/gj-676-a-e/,f30463e6-28c6-4f16-86a7-4aac5872a2d2,https://exoplanets.nasa.gov//exoplanet-catalog/6548/gj-676-a-e/
gj-682-b,"""GJ 682 b is a super Earth exoplanet that orbits an M-type star. Its mass is 4.4 Earths, it takes 17.5 days to complete one orbit of its star, and is 0.08 AU from its star. Its discovery was announced in 2014.""",2014,Radial Velocity,4.4 Earths,1.93 x Earth (estimate),Super Earth,0.08 AU,0.08,17.5 days,exoplanet_details/gj-682-b/,943f45fe-fa13-4a31-bdbb-6f2f5bb9b44d,https://exoplanets.nasa.gov//exoplanet-catalog/7495/gj-682-b/
gj-682-c,"""GJ 682 c is a Neptune-like exoplanet that orbits an M-type star. Its mass is 8.7 Earths, it takes 57.3 days to complete one orbit of its star, and is 0.176 AU from its star. Its discovery was announced in 2014.""",2014,Radial Velocity,8.7 Earths,0.258 x Jupiter (estimate),Neptune-like,0.176 AU,0.1,57.3 days,exoplanet_details/gj-682-c/,c951e059-8697-4ec4-aa78-209bd628eee3,https://exoplanets.nasa.gov//exoplanet-catalog/7496/gj-682-c/
gj-685-b,"""GJ 685 b is a Neptune-like exoplanet that orbits an M-type star. Its mass is 9 Earths, it takes 24.2 days to complete one orbit of its star, and is 0.1344 AU from its star. Its discovery was announced in 2019.""",2019,Radial Velocity,9 Earths,0.263 x Jupiter (estimate),Neptune-like,0.1344 AU,0.0,24.2 days,exoplanet_details/gj-685-b/,6b1108f2-c303-47e2-bc0c-5e3bf49fd6bc,https://exoplanets.nasa.gov//exoplanet-catalog/7299/gj-685-b/
gj-687-b,"""GJ 687 b is a Neptune-like exoplanet that orbits an M-type star. Its mass is 17.2 Earths, it takes 38.1 days to complete one orbit of its star, and is 0.163 AU from its star. Its discovery was announced in 2014.""",2014,Radial Velocity,17.2 Earths,0.385 x Jupiter (estimate),Neptune-like,0.163 AU,0.17,38.1 days,exoplanet_details/gj-687-b/,5b21f862-428f-4fb0-8f53-1fa36fff32c1,https://exoplanets.nasa.gov//exoplanet-catalog/6549/gj-687-b/
gj-687-c,"""GJ 687 c is a Neptune-like exoplanet that orbits an M-type star. Its mass is 16 Earths, it takes 2 years to complete one orbit of its star, and is 1.165 AU from its star. Its discovery was announced in 2020.""",2020,Radial Velocity,16 Earths,0.369 x Jupiter (estimate),Neptune-like,1.165 AU,0.4,2 years,exoplanet_details/gj-687-c/,60d55c2f-a5a6-4bfe-9d4e-759f8c709c07,https://exoplanets.nasa.gov//exoplanet-catalog/7674/gj-687-c/
gj-720-a-b,"""GJ 720 A b is a Neptune-like exoplanet that orbits an M-type star. Its mass is 13.64 Earths, it takes 19.5 days to complete one orbit of its star, and is 0.119 AU from its star. Its discovery was announced in 2021.""",2021,Radial Velocity,13.64 Earths,0.336 x Jupiter (estimate),Neptune-like,0.119 AU,0.12,19.5 days,exoplanet_details/gj-720-a-b/,3c5e3c76-d45b-4bfe-b49c-13226a93504d,https://exoplanets.nasa.gov//exoplanet-catalog/7903/gj-720-a-b/
gj-740-b,"""GJ 740 b is a super Earth exoplanet that orbits a K-type star. Its mass is 2.96 Earths, it takes 2.4 days to complete one orbit of its star, and is 0.029 AU from its star. Its discovery was announced in 2021.""",2021,Radial Velocity,2.96 Earths,1.53 x Earth (estimate),Super Earth,0.029 AU,0.24,2.4 days,exoplanet_details/gj-740-b/,c94bf27e-7b01-4547-9558-223df7ffb664,https://exoplanets.nasa.gov//exoplanet-catalog/7843/gj-740-b/
gj-832-b,"""GJ 832 b is a gas giant exoplanet that orbits an M-type star. Its mass is 0.68 Jupiters, it takes 10 years to complete one orbit of its star, and is 3.56 AU from its star. Its discovery was announced in 2008.""",2008,Radial Velocity,0.68 Jupiters,1.25 x Jupiter (estimate),Gas Giant,3.56 AU,0.08,10 years,exoplanet_details/gj-832-b/,280b9a3e-0e79-4f5e-af06-f1cb3a074311,https://exoplanets.nasa.gov//exoplanet-catalog/6550/gj-832-b/
gj-832-c,"""GJ 832 c is a Neptune-like exoplanet that orbits an M-type star. Its mass is 5.4 Earths, it takes 35.7 days to complete one orbit of its star, and is 0.163 AU from its star. Its discovery was announced in 2014.""",2014,Radial Velocity,5.4 Earths,2.18 x Earth (estimate),Neptune-like,0.163 AU,0.18,35.7 days,exoplanet_details/gj-832-c/,8eceb49d-df24-4719-8ac4-5fc04cfe0af5,https://exoplanets.nasa.gov//exoplanet-catalog/6551/gj-832-c/
gj-849-b,"""GJ 849 b is a gas giant exoplanet that orbits an M-type star. Its mass is 0.9 Jupiters, it takes 5.2 years to complete one orbit of its star, and is 2.409 AU from its star. Its discovery was announced in 2006.""",2006,Radial Velocity,0.9 Jupiters,1.24 x Jupiter (estimate),Gas Giant,2.409 AU,0.04,5.2 years,exoplanet_details/gj-849-b/,f4edabe0-f7b6-48ae-ad7d-1b98c273e765,https://exoplanets.nasa.gov//exoplanet-catalog/6552/gj-849-b/
gj-849-c,"""GJ 849 c is a gas giant exoplanet that orbits an M-type star. Its mass is 0.702 Jupiters, it takes 19.4 years to complete one orbit of its star, and is 4.974 AU from its star. Its discovery was announced in 2014.""",2014,Radial Velocity,0.702 Jupiters,1.25 x Jupiter (estimate),Gas Giant,4.974 AU,0.1,19.4 years,exoplanet_details/gj-849-c/,58c7e72f-a30d-4229-9770-de712dbddf79,https://exoplanets.nasa.gov//exoplanet-catalog/7897/gj-849-c/
gj-86-b,"""GJ 86 b is a gas giant exoplanet that orbits a K-type star. Its mass is 4.42 Jupiters, it takes 15.8 days to complete one orbit of its star, and is 0.11 AU from its star. Its discovery was announced in 1999.""",1999,Radial Velocity,4.42 Jupiters,1.15 x Jupiter (estimate),Gas Giant,0.11 AU,0.04,15.8 days,exoplanet_details/gj-86-b/,2e7cf040-bb21-44fe-bcd2-8579512211ca,https://exoplanets.nasa.gov//exoplanet-catalog/6570/gj-86-b/
gj-876-b,"""GJ 876 b is a gas giant exoplanet that orbits an M-type star. Its mass is 2.2756 Jupiters, it takes 61.1 days to complete one orbit of its star, and is 0.208317 AU from its star. Its discovery was announced in 1998.""",1998,Radial Velocity,2.2756 Jupiters,1.19 x Jupiter (estimate),Gas Giant,0.208317 AU,0.03,61.1 days,exoplanet_details/gj-876-b/,71ed8ed8-9d6c-4d64-817c-b6c3b2e4928d,https://exoplanets.nasa.gov//exoplanet-catalog/6553/gj-876-b/
gj-876-c,"""GJ 876 c is a gas giant exoplanet that orbits an M-type star. Its mass is 0.7142 Jupiters, it takes 30.1 days to complete one orbit of its star, and is 0.12959 AU from its star. Its discovery was announced in 2000.""",2000,Radial Velocity,0.7142 Jupiters,1.25 x Jupiter (estimate),Gas Giant,0.12959 AU,0.26,30.1 days,exoplanet_details/gj-876-c/,b37e5509-5961-42b5-a026-b568248bc8b9,https://exoplanets.nasa.gov//exoplanet-catalog/6554/gj-876-c/
gj-876-d,"""GJ 876 d is a Neptune-like exoplanet that orbits an M-type star. Its mass is 6.83 Earths, it takes 1.9 days to complete one orbit of its star, and is 0.020807 AU from its star. Its discovery was announced in 2005.""",2005,Radial Velocity,6.83 Earths,0.224 x Jupiter (estimate),Neptune-like,0.020807 AU,0.21,1.9 days,exoplanet_details/gj-876-d/,cb81f306-5c5d-4f46-b18c-60b691e7a7ed,https://exoplanets.nasa.gov//exoplanet-catalog/6555/gj-876-d/
gj-876-e,"""GJ 876 e is a Neptune-like exoplanet that orbits an M-type star. Its mass is 14.6 Earths, it takes 124.3 days to complete one orbit of its star, and is 0.3343 AU from its star. Its discovery was announced in 2010.""",2010,Radial Velocity,14.6 Earths,0.35 x Jupiter (estimate),Neptune-like,0.3343 AU,0.06,124.3 days,exoplanet_details/gj-876-e/,56b81360-7e57-4123-966f-0810543f47e8,https://exoplanets.nasa.gov//exoplanet-catalog/6556/gj-876-e/
gj-887-b,"""GJ 887 b is a super Earth exoplanet that orbits an M-type star. Its mass is 4.2 Earths, it takes 9.3 days to complete one orbit of its star, and is 0.068 AU from its star. Its discovery was announced in 2020.""",2020,Radial Velocity,4.2 Earths,1.88 x Earth (estimate),Super Earth,0.068 AU,0.0,9.3 days,exoplanet_details/gj-887-b/,27a998b5-28fe-4797-93ed-a8bcbf3afc25,https://exoplanets.nasa.gov//exoplanet-catalog/7641/gj-887-b/
gj-887-c,"""GJ 887 c is a Neptune-like exoplanet that orbits an M-type star. Its mass is 7.6 Earths, it takes 21.8 days to complete one orbit of its star, and is 0.12 AU from its star. Its discovery was announced in 2020.""",2020,Radial Velocity,7.6 Earths,0.238 x Jupiter (estimate),Neptune-like,0.12 AU,0.0,21.8 days,exoplanet_details/gj-887-c/,b5096097-06bc-4a31-a4a7-e65f08115446,https://exoplanets.nasa.gov//exoplanet-catalog/7642/gj-887-c/
gj-9066-b,"""GJ 9066 b is a Neptune-like exoplanet that orbits an M-type star. Its mass is 30.9 Earths, it takes 241.9 days to complete one orbit of its star, and is 0.403 AU from its star. Its discovery was announced in 2020.""",2020,Radial Velocity,30.9 Earths,0.544 x Jupiter (estimate),Neptune-like,0.403 AU,0.18,241.9 days,exoplanet_details/gj-9066-b/,2c2ed642-79c8-4c97-a0ef-1032ae7faa14,https://exoplanets.nasa.gov//exoplanet-catalog/7745/gj-9066-b/
gj-9066-c,"""GJ 9066 c is a gas giant exoplanet that orbits an M-type star. Its mass is 0.22528 Jupiters, it takes 2.1 years to complete one orbit of its star, and is 0.87 AU from its star. Its discovery was announced in 2020.""",2020,Radial Velocity,0.22528 Jupiters,0.892 x Jupiter (estimate),Gas Giant,0.87 AU,0.33,2.1 years,exoplanet_details/gj-9066-c/,f74959bf-9248-4676-9485-2f8733309c6b,https://exoplanets.nasa.gov//exoplanet-catalog/7746/gj-9066-c/
gj-96-b,"""GJ 96 b is a Neptune-like exoplanet that orbits an M-type star. Its mass is 19.66 Earths, it takes 73.9 days to complete one orbit of its star, and is 0.291 AU from its star. Its discovery was announced in 2018.""",2018,Radial Velocity,19.66 Earths,0.417 x Jupiter (estimate),Neptune-like,0.291 AU,0.44,73.9 days,exoplanet_details/gj-96-b/,2ad62677-413c-4ae0-8a7c-5a9d50be3b9d,https://exoplanets.nasa.gov//exoplanet-catalog/7253/gj-96-b/
gj-9689-b,"""GJ 9689 b is a Neptune-like exoplanet that orbits an M-type star. Its mass is 9.65 Earths, it takes 18.3 days to complete one orbit of its star, and is 0.1139 AU from its star. Its discovery was announced in 2020.""",2020,Radial Velocity,9.65 Earths,0.274 x Jupiter (estimate),Neptune-like,0.1139 AU,0.29,18.3 days,exoplanet_details/gj-9689-b/,dcc038a4-2f6d-4f3c-bb26-dd334e448faa,https://exoplanets.nasa.gov//exoplanet-catalog/8017/gj-9689-b/
gj-9827-b,"""GJ 9827 b is a super Earth exoplanet that orbits a K-type star. Its mass is 4.91 Earths, it takes 1.2 days to complete one orbit of its star, and is 0.0188 AU from its star. Its discovery was announced in 2017.""",2017,Transit,4.91 Earths,1.577 x Earth,Super Earth,0.0188 AU,0.0,1.2 days,exoplanet_details/gj-9827-b/,f659e4cc-acbe-4325-bd56-af9cbd767b64,https://exoplanets.nasa.gov//exoplanet-catalog/7190/gj-9827-b/
gj-9827-c,"""GJ 9827 c is a super Earth exoplanet that orbits a K-type star. Its mass is 0.84 Earths, it takes 3.6 days to complete one orbit of its star, and is 0.03925 AU from its star. Its discovery was announced in 2017.""",2017,Transit,0.84 Earths,1.241 x Earth,Super Earth,0.03925 AU,0.0,3.6 days,exoplanet_details/gj-9827-c/,2b3b1db8-7eb4-46ec-8085-23bf5fc94cc5,https://exoplanets.nasa.gov//exoplanet-catalog/7191/gj-9827-c/
